food_class,display_name,serving_size,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g,fiber_g,health_category,nutrition_tags,source_note
apple_pie,Apple Pie,typical serving / 1 plate or item,320,3,45,14,320,24,2,moderate,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
baby_back_ribs,Baby Back Ribs,typical serving / 1 plate or item,480,30,12,35,900,8,1,limit,high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
baklava,Baklava,typical serving / 1 plate or item,330,6,38,18,160,25,2,moderate,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
beef_carpaccio,Beef Carpaccio,typical serving / 1 plate or item,190,22,2,10,500,1,0,healthier_option,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
beef_tartare,Beef Tartare,typical serving / 1 plate or item,250,24,3,16,520,1,0,balanced,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
beet_salad,Beet Salad,typical serving / 1 plate or item,180,5,20,9,300,12,4,balanced,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
beignets,Beignets,typical serving / 1 plate or item,290,5,40,12,260,14,1,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
bibimbap,Bibimbap,typical serving / 1 plate or item,560,22,75,18,900,8,6,moderate,high_carb|high_sodium|fiber_source,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
bread_pudding,Bread Pudding,typical serving / 1 plate or item,430,9,60,17,420,35,2,limit,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
breakfast_burrito,Breakfast Burrito,typical serving / 1 plate or item,520,22,48,27,950,4,4,moderate,high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
bruschetta,Bruschetta,typical serving / 1 plate or item,180,5,28,6,360,4,2,healthier_option,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
caesar_salad,Caesar Salad,typical serving / 1 plate or item,330,12,14,26,700,3,3,moderate,high_fat,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
cannoli,Cannoli,typical serving / 1 plate or item,250,7,32,11,120,18,1,balanced,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
caprese_salad,Caprese Salad,typical serving / 1 plate or item,260,14,8,20,350,5,2,moderate,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
carrot_cake,Carrot Cake,typical serving / 1 plate or item,420,5,55,21,380,36,2,limit,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
ceviche,Ceviche,typical serving / 1 plate or item,180,24,12,4,550,5,2,healthier_option,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
cheesecake,Cheesecake,typical serving / 1 plate or item,420,7,34,29,330,25,1,moderate,high_fat|high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
cheese_plate,Cheese Plate,typical serving / 1 plate or item,430,22,10,35,800,4,0,limit,high_fat,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
chicken_curry,Chicken Curry,typical serving / 1 plate or item,430,28,20,26,850,6,3,protein_rich,high_protein|high_fat,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
chicken_quesadilla,Chicken Quesadilla,typical serving / 1 plate or item,520,28,40,29,980,3,3,moderate,high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
chicken_wings,Chicken Wings,typical serving / 1 plate or item,560,38,8,42,1100,1,0,limit,high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
chocolate_cake,Chocolate Cake,typical serving / 1 plate or item,450,6,60,22,360,42,3,limit,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
chocolate_mousse,Chocolate Mousse,typical serving / 1 plate or item,360,6,30,24,120,24,2,moderate,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
churros,Churros,typical serving / 1 plate or item,350,5,45,17,250,20,2,moderate,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
clam_chowder,Clam Chowder,typical serving / 1 plate or item,280,12,25,15,950,5,2,moderate,high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
club_sandwich,Club Sandwich,typical serving / 1 plate or item,650,35,55,32,1250,6,4,limit,high_calorie|high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
crab_cakes,Crab Cakes,typical serving / 1 plate or item,300,18,18,18,720,2,1,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
creme_brulee,Creme Brulee,typical serving / 1 plate or item,390,6,34,27,90,30,0,moderate,high_fat|high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
croque_madame,Croque Madame,typical serving / 1 plate or item,650,34,45,38,1200,6,2,limit,high_calorie|high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
cup_cakes,Cup Cakes,typical serving / 1 plate or item,300,3,42,14,240,30,1,moderate,high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
deviled_eggs,Deviled Eggs,typical serving / 1 plate or item,180,12,2,14,420,1,0,balanced,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
donuts,Donuts,typical serving / 1 plate or item,280,4,35,15,300,18,1,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
dumplings,Dumplings,typical serving / 1 plate or item,350,16,45,12,850,3,3,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
edamame,Edamame,typical serving / 1 plate or item,190,17,15,8,10,3,8,healthier_option,lower_calorie|fiber_source,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
eggs_benedict,Eggs Benedict,typical serving / 1 plate or item,720,28,35,52,1100,4,2,limit,high_calorie|high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
escargots,Escargots,typical serving / 1 plate or item,240,18,6,16,500,1,0,balanced,lower_calorie,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
falafel,Falafel,typical serving / 1 plate or item,380,13,42,18,600,4,8,balanced,fiber_source,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
filet_mignon,Filet Mignon,typical serving / 1 plate or item,420,42,0,27,150,0,0,protein_rich,high_protein|high_fat,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
fish_and_chips,Fish And Chips,typical serving / 1 plate or item,800,35,75,40,1200,4,5,limit,high_calorie|high_protein|high_fat|high_carb|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
foie_gras,Foie Gras,typical serving / 1 plate or item,460,14,5,42,550,1,0,limit,high_fat,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
french_fries,French Fries,typical serving / 1 plate or item,365,4,48,17,300,0,4,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
french_onion_soup,French Onion Soup,typical serving / 1 plate or item,380,15,32,20,1100,8,3,moderate,high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
french_toast,French Toast,typical serving / 1 plate or item,450,14,55,19,520,18,3,moderate,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
fried_calamari,Fried Calamari,typical serving / 1 plate or item,520,28,45,27,900,2,3,moderate,high_protein|high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
fried_rice,Fried Rice,typical serving / 1 plate or item,520,16,75,18,950,4,4,moderate,high_carb|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
frozen_yogurt,Frozen Yogurt,typical serving / 1 plate or item,220,6,38,5,100,30,0,moderate,lower_calorie|high_sugar,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
garlic_bread,Garlic Bread,typical serving / 1 plate or item,330,8,42,15,580,3,2,balanced,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
gnocchi,Gnocchi,typical serving / 1 plate or item,420,10,70,12,650,3,4,balanced,high_carb,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
greek_salad,Greek Salad,typical serving / 1 plate or item,300,10,15,23,720,7,4,moderate,balanced,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
grilled_cheese_sandwich,Grilled Cheese Sandwich,typical serving / 1 plate or item,500,18,42,30,900,5,2,moderate,high_fat|high_sodium,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
grilled_salmon,Grilled Salmon,typical serving / 1 plate or item,400,40,3,24,180,1,0,protein_rich,high_protein,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
guacamole,Guacamole,typical serving / 1 plate or item,230,3,13,20,350,1,8,moderate,lower_calorie|fiber_source,Approximate typical serving values for academic demo; verify with USDA FoodData Central for production.
